MEDV,DIS,AGE,RM
17.3,1.9444,97.0,5.856
18.8,2.0063,95.8,5.879
21.4,1.9929,88.4,5.986
15.7,1.7572,95.6,5.613
16.2,1.7883,96.0,5.693
18.0,1.8125,98.8,6.431
14.3,1.9799,94.7,5.637
19.2,2.1185,98.9,6.458
19.6,2.271,97.7,6.326
23.0,2.3274,97.9,6.372
18.4,2.4699,95.4,5.822
15.6,2.346,98.4,5.757
18.1,2.1107,98.2,6.335
17.4,1.9669,93.5,5.942
17.1,1.8498,98.4,6.454
13.3,1.6686,98.2,5.857
17.8,1.6687,97.9,6.151
14.0,1.6119,93.6,6.174
14.4,1.4394,100.0,5.019
13.4,1.3216,100.0,5.403
15.6,1.4118,100.0,5.468
11.8,1.3459,97.8,4.903
13.8,1.4191,100.0,6.13
15.6,1.5166,100.0,5.628
14.6,1.4608,95.7,4.926
17.8,1.5296,93.8,5.186
15.4,1.5257,94.9,5.597
21.5,1.618,97.3,6.122
19.6,1.5916,100.0,5.404
15.3,1.6102,88.0,5.012
19.4,1.6232,98.5,5.709
17.0,1.7494,96.0,6.129
15.6,1.7455,82.6,6.152
13.1,1.7364,94.0,5.272
41.3,1.8773,97.4,6.943
24.3,1.7573,100.0,6.066
23.3,1.7659,100.0,6.51
27.0,1.7984,92.6,6.25
50.0,1.9709,90.8,7.489
50.0,2.0407,98.2,7.802
50.0,2.162,93.9,8.375
22.7,2.422,91.8,5.854
25.0,2.2834,93.0,6.101
50.0,2.0459,96.2,7.929
23.8,2.4259,79.2,5.877
23.8,2.1,96.1,6.319
22.3,2.2625,95.2,6.402
17.4,2.4259,94.6,5.875
19.1,2.3887,97.3,5.88
23.1,2.5961,88.5,5.572
23.6,2.6463,84.1,6.416
22.6,2.7019,68.7,5.859
29.4,3.1323,33.1,6.546
23.2,3.5549,47.2,6.02
24.6,3.3175,73.4,6.315
29.9,2.9153,74.4,6.86
37.2,2.829,58.4,6.98
39.8,2.741,83.3,7.765
36.2,2.5979,62.2,6.144
37.9,2.7006,92.2,7.155
32.5,2.847,95.6,6.563
26.4,2.9879,89.8,5.604
29.6,3.2797,68.8,6.153
50.0,3.1992,53.6,7.831
32.0,3.7886,41.1,6.782
29.8,4.5667,29.1,6.556
34.9,4.5667,38.9,7.185
37.0,6.4798,21.5,6.951
30.5,6.4798,30.8,6.739
36.4,6.4798,26.3,7.178
31.1,6.2196,9.9,6.8
29.1,6.2196,18.8,6.604
50.0,5.6484,32.0,7.875
33.3,7.309,34.1,7.287
30.3,7.309,36.6,7.107
34.6,7.309,38.3,7.274
34.9,7.6534,15.3,6.975
32.9,7.6534,13.9,7.135
24.1,6.27,38.4,6.162
42.3,6.27,15.7,7.61
48.5,5.118,33.2,7.853
50.0,5.118,31.9,8.034
22.6,3.9454,22.3,5.891
24.4,4.3549,52.5,6.326
22.5,4.3549,72.7,5.783
24.4,4.2392,59.1,6.064
20.0,3.875,100.0,5.344
21.7,3.8771,92.1,5.96
19.3,3.665,88.6,5.404
22.4,3.6526,53.8,5.807
28.1,3.9454,32.3,6.375
23.7,3.5875,9.8,5.412
25.0,3.9454,42.4,6.182
23.3,3.1121,56.0,5.888
28.7,3.4211,85.1,6.642
21.5,2.8893,93.8,5.951
23.0,3.3633,92.4,6.373
26.7,2.8617,88.5,6.951
21.7,3.048,91.3,6.164
27.5,3.2721,77.7,6.879
30.1,3.2721,80.8,6.618
44.8,2.8944,78.3,8.266
50.0,2.8944,83.0,8.725
37.6,3.2157,86.5,8.04
31.6,3.2157,79.9,7.163
46.7,3.3751,17.0,7.686
31.5,3.3751,21.4,6.552
24.3,3.6715,68.1,5.981
31.7,3.6715,76.9,7.412
41.7,3.8384,73.3,8.337
48.3,3.6519,70.4,8.247
29.0,3.6519,66.5,6.726
24.0,3.6519,61.5,6.086
25.1,4.148,76.5,6.631
31.5,4.148,71.6,7.358
23.7,6.1899,18.5,6.481
23.3,6.1899,42.2,6.606
22.0,6.3361,54.3,6.897
20.1,6.3361,65.1,6.095
22.2,7.0355,52.9,6.358
23.7,7.0355,7.8,6.393
17.6,7.9549,76.5,5.593
18.5,7.9549,70.2,5.605
24.3,8.0555,34.9,6.108
20.5,8.0555,79.2,6.226
24.5,7.8265,49.1,6.433
26.2,7.8265,17.5,6.718
24.4,7.3967,13.0,6.487
24.8,7.3967,8.9,6.438
29.6,8.9067,6.8,6.957
42.8,8.9067,8.4,8.259
21.9,9.2203,32.0,6.108
20.9,9.2203,19.1,5.876
44.0,6.3361,34.2,7.454
50.0,1.801,86.9,8.704
36.0,1.8946,100.0,7.333
30.1,2.0107,100.0,6.842
33.8,2.1121,81.8,7.203
43.1,2.1398,89.4,7.52
48.8,2.2885,91.5,8.398
31.0,2.0788,94.5,7.327
36.5,1.9301,91.6,7.206
22.8,1.9865,62.8,5.56
30.7,2.1329,84.6,7.014
50.0,2.4216,67.0,8.297
43.5,2.872,52.6,7.47
20.7,3.9175,61.5,5.92
21.1,4.429,42.1,5.856
25.2,4.429,16.3,6.24
24.4,3.9175,58.7,6.538
35.2,4.3665,51.8,7.691
32.4,4.0776,32.9,6.758
32.0,4.2673,42.8,6.854
33.2,4.7872,49.0,7.267
33.1,4.8628,27.6,6.826
29.1,4.1403,32.1,6.482
35.1,4.1007,32.2,6.812
45.4,4.6947,64.5,7.82
35.4,5.2447,37.2,6.968
46.0,5.2119,49.7,7.645
50.0,5.885,24.8,7.923
32.2,7.3073,20.8,7.088
22.0,7.3073,31.9,6.453
20.1,9.0892,31.5,6.23
23.2,7.3172,31.3,6.209
22.3,7.3172,45.6,6.315
24.8,7.3172,22.9,6.565
28.5,5.1167,27.9,6.861
37.3,5.1167,27.7,7.148
27.9,5.1167,23.4,6.63
23.9,5.5027,18.4,6.127
21.7,5.5027,42.3,6.009
28.6,5.9604,31.1,6.678
27.1,5.9604,51.0,6.549
20.3,6.32,58.0,5.79
22.5,7.8278,20.1,6.345
29.0,7.8278,10.0,7.041
24.8,7.8278,47.4,6.871
22.0,5.4917,40.4,6.59
26.4,5.4917,18.4,6.495
33.1,5.4917,17.7,6.982
36.1,4.022,41.1,7.236
28.4,3.37,58.1,6.616
33.4,3.0992,71.9,7.42
28.2,3.1827,70.3,6.849
22.8,3.3175,82.5,6.635
20.3,3.1025,76.7,5.972
16.1,2.5194,37.8,4.973
22.1,2.6403,52.8,6.122
19.4,2.834,90.4,6.023
21.6,3.2628,82.8,6.266
23.8,3.6023,87.3,6.567
16.2,3.945,77.7,5.705
17.8,3.9986,83.2,5.914
19.8,4.0317,71.7,5.782
23.1,3.5325,67.2,6.382
21.0,4.0019,58.8,6.113
23.8,4.5404,52.3,6.426
23.1,4.5404,54.3,6.376
20.4,4.7211,49.9,6.041
18.5,4.7211,74.3,5.708
25.0,4.7211,40.1,6.415
24.6,5.4159,14.7,6.431
23.0,5.4159,28.9,6.312
22.2,5.4159,43.7,6.083
19.3,5.2146,25.8,5.868
22.6,5.2146,17.2,6.333
19.8,5.8736,32.2,6.144
17.1,6.6407,28.4,5.706
19.4,6.6407,23.3,6.031
22.2,6.4584,38.1,6.316
20.7,6.4584,38.5,6.31
21.1,5.9853,34.5,6.037
19.5,5.2311,46.3,5.869
18.5,5.615,59.6,5.895
20.6,4.8122,37.3,6.059
19.0,4.8122,45.4,5.985
18.7,4.8122,58.5,5.968
32.7,7.0379,49.3,7.241
16.5,6.2669,59.7,6.54
23.9,5.7321,56.4,6.696
31.2,6.4654,28.1,6.874
17.5,8.0136,48.5,6.014
17.2,8.0136,52.3,5.898
23.1,8.5353,27.7,6.516
24.5,8.344,29.7,6.635
26.6,8.7921,34.5,6.939
22.9,8.7921,44.4,6.49
24.1,10.7103,35.9,6.579
18.6,10.7103,18.5,5.884
30.1,12.1265,36.1,6.728
18.2,10.5857,21.9,5.663
20.6,10.5857,19.5,5.936
17.8,2.1222,97.4,6.212
21.7,2.5052,91.0,6.395
22.7,2.7227,83.4,6.127
22.6,2.5091,81.3,6.112
25.0,2.5182,88.0,6.398
19.9,2.2955,91.1,6.251
20.8,2.1036,96.2,5.362
16.8,1.9047,89.0,5.803
21.9,1.9047,82.9,8.78
27.5,1.6132,87.9,3.561
21.9,1.7523,91.4,4.963
23.1,1.5106,100.0,3.863
50.0,1.3325,100.0,4.97
50.0,1.3567,96.8,6.683
50.0,1.2024,97.5,7.016
50.0,1.1691,100.0,6.216
50.0,1.1296,89.6,5.875
13.8,1.1742,100.0,4.906
13.8,1.137,100.0,4.138
15.0,1.3163,97.9,7.313
13.9,1.3449,93.3,6.649
13.3,1.358,98.8,6.794
13.1,1.3861,96.2,6.38
10.2,1.3861,100.0,6.223
10.4,1.4165,91.9,6.968
10.9,1.5192,99.1,6.545
11.3,1.5804,100.0,5.536
12.3,1.5331,100.0,5.52
8.8,1.4395,91.2,4.368
7.2,1.4261,98.1,5.277
10.5,1.4672,100.0,4.652
7.4,1.5184,89.5,5.0
10.2,1.5895,100.0,4.88
11.5,1.7281,98.9,5.39
15.1,1.9265,97.0,5.713
23.2,2.1678,82.5,6.051
9.7,1.77,97.0,5.036
13.8,1.7912,92.6,6.193
12.7,1.7821,94.7,5.887
13.1,1.7257,98.8,6.471
12.5,1.6768,96.0,6.405
8.5,1.6334,98.9,5.747
5.0,1.4896,100.0,5.453
6.3,1.5004,77.8,5.852
5.6,1.5888,100.0,5.987
7.2,1.5741,100.0,6.343
12.1,1.639,100.0,6.404
8.3,1.7028,96.0,5.349
8.5,1.6074,85.4,5.531
5.0,1.4254,100.0,5.683
11.9,1.1781,100.0,4.138
27.9,1.2852,100.0,5.608
17.2,1.4547,97.9,5.617
27.5,1.4655,100.0,6.852
15.0,1.413,100.0,5.757
17.2,1.5275,100.0,6.657
17.9,1.5539,100.0,4.628
16.3,1.5894,100.0,5.155
7.0,1.6582,100.0,4.519
7.2,1.8347,100.0,6.434
7.5,1.8195,90.8,6.782
10.4,1.6475,89.1,5.304
8.8,1.8026,100.0,5.957
8.4,1.794,76.5,6.824
16.7,1.8589,100.0,6.411
14.2,1.8746,95.3,6.006
20.8,1.9512,87.6,5.648
13.4,2.0218,85.1,6.103
11.7,2.0635,70.6,5.565
8.3,1.9096,95.4,5.896
10.2,1.9976,59.7,5.837
10.9,1.8629,78.7,6.202
11.0,1.9356,78.1,6.193
9.5,1.9682,95.6,6.38
14.5,2.0527,86.1,6.348
14.1,2.0882,94.3,6.833
16.1,2.2004,74.8,6.425
14.3,2.3158,87.9,6.436
11.7,2.2222,95.0,6.208
13.4,2.1247,94.6,6.629
9.6,2.0026,93.3,6.461
8.7,1.9142,100.0,6.152
8.4,1.8206,87.9,5.935
12.8,1.8172,93.9,5.627
10.5,1.8662,92.4,5.818
17.1,2.0651,97.2,6.406
18.4,2.0048,100.0,6.219
15.4,1.9784,100.0,6.485
10.8,1.8956,96.6,5.854
11.8,1.9879,94.8,6.459
14.9,2.072,96.4,6.341
12.6,2.198,96.6,6.251
14.1,2.2616,98.7,6.185
13.0,2.185,98.3,6.417
13.4,2.3236,92.6,6.749
15.2,2.3552,98.2,6.655
16.1,2.3682,91.8,6.297
17.8,2.4527,99.3,7.393
14.9,2.4961,94.1,6.728
14.1,2.4358,86.5,6.525
12.7,2.5806,87.9,5.976
13.5,2.7792,80.3,5.936
14.9,2.7831,83.7,6.301
20.0,2.7175,84.4,6.081
16.4,2.5975,90.0,6.701
17.7,2.5671,88.4,6.376
19.5,2.7344,83.0,6.317
20.2,2.8016,89.9,6.513
21.4,2.9634,65.4,6.209
19.9,3.0665,48.2,5.759
19.0,2.8715,84.7,5.952
19.1,2.5403,94.5,6.003
19.1,2.9084,71.0,5.926
20.1,2.8237,56.7,5.713
19.9,3.0334,84.0,6.167
19.6,3.0993,90.7,6.229
23.2,2.8965,75.0,6.437
29.8,2.5329,67.6,6.98
13.8,2.4298,95.4,5.427
13.3,2.206,97.4,6.162
16.7,2.3053,93.6,6.484
12.0,2.1007,97.3,5.304
14.6,2.1705,96.7,6.185
21.4,1.9512,88.0,6.229
23.0,3.4242,64.7,6.242
23.7,3.3317,74.9,6.75
25.0,3.4106,77.0,7.061
21.8,4.0983,40.3,5.762
20.6,3.724,41.9,5.871
21.2,3.9917,51.9,6.312
19.1,3.5459,79.8,6.114
20.6,3.1523,53.2,5.905
15.2,1.8209,92.7,5.454
7.0,1.7554,98.3,5.414
8.1,1.8226,98.0,5.093
13.6,1.8681,98.8,5.983
20.1,2.1099,83.5,5.983
21.8,2.3817,54.0,5.707
24.5,2.3817,42.6,5.926
23.1,2.7986,28.8,5.67
19.7,2.7986,72.9,5.39
18.3,2.8927,70.6,5.794
21.2,2.4091,65.3,6.019
17.5,2.3999,73.5,5.569
16.8,2.4982,79.7,6.027
22.4,2.4786,69.1,6.593
20.6,2.2875,76.7,6.12
23.9,2.1675,91.0,6.976
22.0,2.3889,89.3,6.794
11.9,2.505,80.8,6.03
