rnum,rank,rankInten,rankOldAndNew,movieCd,movieNm,openDt,salesAmt,salesShare,salesInten,salesChange,salesAcc,audiCnt,audiInten,audiChange,audiAcc,scrnCnt,showCnt,date
8,8,-1,OLD,20197092,로망,2019-04-03,59982050,1.2,15003290,33.4,311478670,7412,1747,30.8,39390,393,639,2019-04-06
9,9,15,OLD,20198023,고릴라와 슈퍼레이스,2019-04-03,14320870,0.3,12222670,582.5,26735020,1884,1580,519.7,3419,183,203,2019-04-06
10,10,1,OLD,20198146,콜레트,2019-03-27,15751880,0.3,5744050,57.4,274041911,1809,612,51.1,33733,45,74,2019-04-06
1,1,0,OLD,20196244,샤잠!,2019-04-03,1104461130,25.9,-337989669,-23.4,4410091671,124471,-35229,-22.1,500650,1098,4986,2019-04-07
2,2,0,OLD,20183096,생일,2019-04-03,915734090,21.5,-67543323,-6.9,3187198891,105359,-7970,-7,375445,856,3580,2019-04-07
3,3,0,OLD,20176103,돈,2019-03-20,743336890,17.4,-154479566,-17.2,26584572852,82722,-16941,-17,3117350,744,2823,2019-04-07
4,4,0,OLD,20185352,어스,2019-03-27,616188650,14.4,-250046121,-28.9,11451121084,67661,-27736,-29.1,1344562,694,2392,2019-04-07
5,5,0,OLD,20183773,장난스런 키스,2019-03-27,295047950,6.9,-20463020,-6.5,2580226978,34966,-2297,-6.2,318784,438,948,2019-04-07
6,6,0,OLD,20196025,덤보,2019-03-27,213653020,5.0,-5375510,-2.5,2387235222,26437,-606,-2.2,296253,520,912,2019-04-07
7,7,0,OLD,20181877,캡틴 마블,2019-03-06,193069440,4.5,-45565560,-19.1,50202579983,21687,-4962,-18.6,5649942,421,797,2019-04-07
8,8,0,OLD,20197092,로망,2019-04-03,61129430,1.4,1147380,1.9,372608100,7548,136,1.8,46938,399,634,2019-04-07
9,9,0,OLD,20198023,고릴라와 슈퍼레이스,2019-04-03,13341260,0.3,-979610,-6.8,40076280,1739,-145,-7.7,5158,176,200,2019-04-07
10,10,0,OLD,20198146,콜레트,2019-03-27,13024680,0.3,-2727200,-17.3,287066591,1490,-319,-17.6,35223,45,70,2019-04-07
1,1,1,OLD,20183096,생일,2019-04-03,313569830,26.5,-602164260,-65.8,3500768721,39139,-66220,-62.9,414584,824,3488,2019-04-08
2,2,-1,OLD,20196244,샤잠!,2019-04-03,237867040,20.1,-866594090,-78.5,4647958711,28855,-95616,-76.8,529505,1005,4202,2019-04-08
3,3,0,OLD,20176103,돈,2019-03-20,221142190,18.7,-522194700,-70.3,26805715042,27171,-55551,-67.2,3144521,666,2682,2019-04-08
4,4,0,OLD,20185352,어스,2019-03-27,160791880,13.6,-455396770,-73.9,11611912964,19120,-48541,-71.7,1363682,621,2139,2019-04-08
5,5,0,OLD,20183773,장난스런 키스,2019-03-27,76079780,6.4,-218968170,-74.2,2656306758,9254,-25712,-73.5,328038,374,836,2019-04-08
6,6,1,OLD,20181877,캡틴 마블,2019-03-06,55783470,4.7,-137285970,-71.1,50258363453,6842,-14845,-68.5,5656784,374,784,2019-04-08
7,7,1,OLD,20197092,로망,2019-04-03,35081870,3.0,-26047560,-42.6,407689970,4931,-2617,-34.7,51869,395,705,2019-04-08
8,8,-2,OLD,20196025,덤보,2019-03-27,14248480,1.2,-199404540,-93.3,2401483702,1842,-24595,-93,298095,238,323,2019-04-08
9,9,0,NEW,20188393,"다시, 봄",2019-04-17,11756000,1.0,11756000,100,11756000,1476,1476,100,1476,4,4,2019-04-08
10,10,0,OLD,20198146,콜레트,2019-03-27,7695140,0.7,-5329540,-40.9,294761731,1029,-461,-30.9,36252,51,77,2019-04-08
1,1,0,OLD,20183096,생일,2019-04-03,320784100,28.7,7214270,2.3,3821552821,40232,1093,2.8,454816,856,3546,2019-04-09
2,2,1,OLD,20176103,돈,2019-03-20,202541800,18.1,-18600390,-8.4,27008256842,24902,-2269,-8.4,3169423,705,2645,2019-04-09
3,3,-1,OLD,20196244,샤잠!,2019-04-03,198861480,17.8,-39005560,-16.4,4846820191,23894,-4961,-17.2,553399,1000,3905,2019-04-09
4,4,0,OLD,20185352,어스,2019-03-27,138272820,12.4,-22519060,-14,11750185784,16201,-2919,-15.3,1379883,614,2040,2019-04-09
5,5,0,OLD,20183773,장난스런 키스,2019-03-27,63989180,5.7,-12090600,-15.9,2720295938,7732,-1522,-16.4,335770,373,818,2019-04-09
6,6,0,OLD,20181877,캡틴 마블,2019-03-06,53327110,4.8,-2456360,-4.4,50311690563,6522,-320,-4.7,5663306,383,778,2019-04-09
7,7,0,OLD,20197092,로망,2019-04-03,37662840,3.4,2580970,7.4,445352810,5343,412,8.4,57212,405,709,2019-04-09
8,8,0,OLD,20196025,덤보,2019-03-27,14984400,1.3,735920,5.2,2416468102,2000,158,8.6,300095,242,335,2019-04-09
9,9,7,OLD,20197483,1919 유관순,2019-03-14,7910000,0.7,5692000,256.6,440088410,988,711,256.7,53153,11,17,2019-04-09
10,10,0,NEW,20198104,바이스,2019-04-11,9507200,0.9,9507200,100,90213800,953,953,100,10605,18,18,2019-04-09
1,1,0,OLD,20183096,생일,2019-04-03,340577410,22.1,19793310,6.2,4162130231,43351,3119,7.8,498167,791,3063,2019-04-10
2,2,36,OLD,20185406,헬보이,2019-04-10,291984020,18.9,291012020,29939.5,294762020,36048,35940,33277.8,36414,585,2164,2019-04-10
3,3,-1,OLD,20176103,돈,2019-03-20,200435840,13.0,-2105960,-1,27208692682,24863,-39,-0.2,3194286,589,2206,2019-04-10
4,4,0,NEW,20197423,공포의 묘지,2019-04-10,156593270,10.2,156593270,100,162072270,18905,18905,100,19512,564,2013,2019-04-10
5,5,-2,OLD,20196244,샤잠!,2019-04-03,129689790,8.4,-69171690,-34.8,4976509981,15815,-8079,-33.8,569214,686,2275,2019-04-10
6,6,-2,OLD,20185352,어스,2019-03-27,115808350,7.5,-22464470,-16.2,11865994134,13768,-2433,-15,1393651,483,1412,2019-04-10
7,7,4,OLD,20198403,파이브 피트,2019-04-10,82566950,5.4,75429450,1056.8,151564450,10050,9133,996,17913,445,1363,2019-04-10
8,8,-3,OLD,20183773,장난스런 키스,2019-03-27,75382730,4.9,11393550,17.8,2795678668,9213,1481,19.2,344983,334,705,2019-04-10
9,9,-3,OLD,20181877,캡틴 마블,2019-03-06,36007580,2.3,-17319530,-32.5,50347698143,4378,-2144,-32.9,5667684,231,440,2019-04-10
10,10,-3,OLD,20197092,로망,2019-04-03,21830130,1.4,-15832710,-42,467182940,3214,-2129,-39.8,60426,149,226,2019-04-10
1,1,0,OLD,20183096,생일,2019-04-03,254624830,17.4,-85952580,-25.2,4416755061,32524,-10827,-25,530691,717,2526,2019-04-11
2,2,0,OLD,20185406,헬보이,2019-04-10,227891450,15.6,-64092570,-22,522653470,28247,-7801,-21.6,64661,658,2142,2019-04-11
3,3,66,OLD,20180825,미성년,2019-04-11,188405540,12.9,188304540,186440.1,229637040,23357,23337,116685,27610,586,2499,2019-04-11
4,4,-1,OLD,20176103,돈,2019-03-20,121591550,8.3,-78844290,-39.3,27330284232,15029,-9834,-39.6,3209315,525,1445,2019-04-11
5,5,-1,OLD,20197423,공포의 묘지,2019-04-10,105640250,7.2,-50953020,-32.5,267712520,12690,-6215,-32.9,32202,529,1655,2019-04-11
6,6,0,NEW,20198104,바이스,2019-04-11,86503500,5.9,86503500,100,176717300,11016,11016,100,21621,227,938,2019-04-11
7,7,0,NEW,20198844,아이 엠 마더,2019-04-11,68726200,4.7,68726200,100,70067200,9013,9013,100,9162,169,722,2019-04-11
8,8,-3,OLD,20196244,샤잠!,2019-04-03,76314760,5.2,-53375030,-41.2,5052824741,8971,-6844,-43.3,578185,554,1530,2019-04-11
9,9,-3,OLD,20185352,어스,2019-03-27,71729250,4.9,-44079100,-38.1,11937723384,8471,-5297,-38.5,1402122,410,891,2019-04-11
10,10,-3,OLD,20198403,파이브 피트,2019-04-10,66899380,4.6,-15667570,-19,218463830,7998,-2052,-20.4,25911,417,1146,2019-04-11
1,1,0,OLD,20183096,생일,2019-04-03,392160230,19.8,137535400,54,4808915291,46922,14398,44.3,577613,773,2751,2019-04-12
2,2,0,OLD,20185406,헬보이,2019-04-10,299767243,15.1,71875793,31.5,822420713,33818,5571,19.7,98479,680,2285,2019-04-12
3,3,0,OLD,20180825,미성년,2019-04-11,254530580,12.8,66125040,35.1,484167620,28818,5461,23.4,56428,601,2639,2019-04-12
4,4,0,OLD,20176103,돈,2019-03-20,173443770,8.7,51852220,42.6,27503728002,19989,4960,33,3229304,536,1482,2019-04-12
5,5,0,OLD,20197423,공포의 묘지,2019-04-10,135208577,6.8,29568327,28,402921097,14977,2287,18,47179,548,1626,2019-04-12
6,6,0,OLD,20198104,바이스,2019-04-11,114939300,5.8,28435800,32.9,291656600,13494,2478,22.5,35115,235,944,2019-04-12
7,7,1,OLD,20196244,샤잠!,2019-04-03,115505317,5.8,39190557,51.4,5168330058,13123,4152,46.3,591308,555,1455,2019-04-12
8,8,1,OLD,20185352,어스,2019-03-27,109573220,5.5,37843970,52.8,12047296604,12152,3681,43.5,1414274,411,909,2019-04-12
9,9,1,OLD,20198403,파이브 피트,2019-04-10,93586300,4.7,26686920,39.9,312050130,10414,2416,30.2,36325,434,1158,2019-04-12
10,10,-3,OLD,20198844,아이 엠 마더,2019-04-11,76327900,3.8,7601700,11.1,146395100,9159,146,1.6,18321,183,747,2019-04-12
1,1,0,OLD,20183096,생일,2019-04-03,740847790,21.4,348687560,88.9,5549763081,86029,39107,83.3,663642,862,3271,2019-04-13
2,2,0,OLD,20185406,헬보이,2019-04-10,550321971,15.9,250554728,83.6,1372742684,61190,27372,80.9,159669,726,2596,2019-04-13
3,3,0,OLD,20180825,미성년,2019-04-11,369180470,10.6,114649890,45,853348090,41609,12791,44.4,98037,670,2834,2019-04-13
4,4,0,OLD,20176103,돈,2019-03-20,315515980,9.1,142072210,81.9,27819243982,35498,15509,77.6,3264802,561,1554,2019-04-13
5,5,2,OLD,20196244,샤잠!,2019-04-03,212333409,6.1,96828092,83.8,5380663467,23732,10609,80.8,615040,581,1361,2019-04-13
6,6,0,OLD,20198104,바이스,2019-04-11,195826300,5.6,80887000,70.4,487482900,22198,8704,64.5,57313,241,949,2019-04-13
7,7,-2,OLD,20197423,공포의 묘지,2019-04-10,198862379,5.7,63653802,47.1,601783476,22097,7120,47.5,69276,516,1514,2019-04-13
8,8,0,OLD,20185352,어스,2019-03-27,182986540,5.3,73413320,67,12230283144,20068,7916,65.1,1434342,406,842,2019-04-13
9,9,1,OLD,20198844,아이 엠 마더,2019-04-11,141318600,4.1,64990700,85.1,287713700,16108,6949,75.9,34429,213,837,2019-04-13
10,10,1,OLD,20183773,장난스런 키스,2019-03-27,134139960,3.9,57753580,75.6,3053018068,15666,6851,77.7,375214,307,596,2019-04-13
1,1,0,OLD,20183096,생일,2019-04-03,851549350,23.6,110701560,14.9,6401312431,98132,12103,14.1,761774,865,3228,2019-04-14
2,2,0,OLD,20185406,헬보이,2019-04-10,545641670,15.1,-4680301,-0.9,1918384354,60574,-616,-1,220243,726,2558,2019-04-14
3,3,0,OLD,20180825,미성년,2019-04-11,388280050,10.8,19099580,5.2,1241628140,43551,1942,4.7,141588,673,2745,2019-04-14
4,4,0,OLD,20176103,돈,2019-03-20,337997300,9.4,22481320,7.1,28157241282,37979,2481,7,3302781,563,1542,2019-04-14
5,5,0,OLD,20196244,샤잠!,2019-04-03,196528190,5.5,-15805219,-7.4,5577191657,21931,-1801,-7.6,636971,563,1277,2019-04-14
6,6,0,OLD,20198104,바이스,2019-04-11,177924600,4.9,-17901700,-9.1,665407500,20075,-2123,-9.6,77388,238,915,2019-04-14
7,7,0,OLD,20197423,공포의 묘지,2019-04-10,161764200,4.5,-37098179,-18.7,763547676,17858,-4239,-19.2,87134,498,1384,2019-04-14
8,8,1,OLD,20198844,아이 엠 마더,2019-04-11,155746300,4.3,14427700,10.2,443460000,17664,1556,9.7,52093,212,807,2019-04-14
9,9,2,OLD,20198403,파이브 피트,2019-04-10,152974620,4.2,23802610,18.4,594196760,16843,2616,18.4,67395,457,1026,2019-04-14
10,10,-2,OLD,20185352,어스,2019-03-27,151876940,4.2,-31109600,-17,12382160084,16560,-3508,-17.5,1450902,384,800,2019-04-14
1,1,0,OLD,20183096,생일,2019-04-03,237271000,23.2,-614278350,-72.1,6638583431,30109,-68023,-69.3,791883,800,2951,2019-04-15
2,2,0,OLD,20185406,헬보이,2019-04-10,144298710,14.1,-401342960,-73.6,2062683064,17854,-42720,-70.5,238097,632,2344,2019-04-15
3,3,0,OLD,20180825,미성년,2019-04-11,130548280,12.8,-257731770,-66.4,1372176420,16229,-27322,-62.7,157817,612,2499,2019-04-15
4,4,0,OLD,20176103,돈,2019-03-20,96079800,9.4,-241917500,-71.6,28253321082,12075,-25904,-68.2,3314856,522,1469,2019-04-15
5,5,4,OLD,20198403,파이브 피트,2019-04-10,55478810,5.4,-97495810,-63.7,649675570,6684,-10159,-60.3,74079,428,953,2019-04-15
6,6,0,OLD,20198104,바이스,2019-04-11,52250000,5.1,-125674600,-70.6,717657500,6494,-13581,-67.7,83882,225,811,2019-04-15
7,7,1,OLD,20198844,아이 엠 마더,2019-04-11,44781200,4.4,-110965100,-71.2,488241200,5903,-11761,-66.6,57996,180,720,2019-04-15
8,8,-1,OLD,20197423,공포의 묘지,2019-04-10,46108760,4.5,-115655440,-71.5,809656436,5508,-12350,-69.2,92642,442,1086,2019-04-15
9,9,1,OLD,20185352,어스,2019-03-27,39057890,3.8,-112819050,-74.3,12421217974,4638,-11922,-72,1455540,366,699,2019-04-15
10,10,-5,OLD,20196244,샤잠!,2019-04-03,35246180,3.4,-161282010,-82.1,5612437837,4207,-17724,-80.8,641178,462,954,2019-04-15
1,1,0,OLD,20183096,생일,2019-04-03,327654830,29.6,90383830,38.1,6966238261,42389,12280,40.8,834272,827,3085,2019-04-16
2,2,1,OLD,20180825,미성년,2019-04-11,119282180,10.8,-11266100,-8.6,1491458600,15017,-1212,-7.5,172834,628,2381,2019-04-16
3,3,-1,OLD,20185406,헬보이,2019-04-10,111023090,10.0,-33275620,-23.1,2173706154,13726,-4128,-23.1,251823,623,2240,2019-04-16
4,4,0,OLD,20176103,돈,2019-03-20,81036650,7.3,-15043150,-15.7,28334357732,10446,-1629,-13.5,3325302,542,1418,2019-04-16
5,5,13,OLD,20185784,나의 특별한 형제,2019-05-01,59054000,5.3,55610000,1614.7,69728000,8945,8371,1458.4,10965,48,48,2019-04-16
6,6,-1,OLD,20198403,파이브 피트,2019-04-10,53634020,4.8,-1844790,-3.3,703309590,6529,-155,-2.3,80608,424,945,2019-04-16
7,7,-1,OLD,20198104,바이스,2019-04-11,48050500,4.3,-4199500,-8,765708000,5891,-603,-9.3,89773,226,796,2019-04-16
8,8,-1,OLD,20198844,아이 엠 마더,2019-04-11,36424700,3.3,-8356500,-18.7,524665900,4630,-1273,-21.6,62626,189,706,2019-04-16
9,9,3,OLD,20181877,캡틴 마블,2019-03-06,33919240,3.1,7027400,26.1,50659584713,4202,893,27,5703849,213,346,2019-04-16
10,10,-1,OLD,20185352,어스,2019-03-27,34913550,3.1,-4144340,-10.6,12456131524,4141,-497,-10.7,1459681,349,667,2019-04-16
1,1,0,OLD,20183096,생일,2019-04-03,254784140,22.3,-72870690,-22.2,7221022401,32539,-9850,-23.2,866811,709,2719,2019-04-17
2,2,32,OLD,20183454,요로나의 저주,2019-04-17,198250890,17.3,196720890,12857.6,223809890,23480,23310,13711.8,26321,579,2707,2019-04-17
3,3,-1,OLD,20180825,미성년,2019-04-11,98595450,8.6,-20686730,-17.3,1590054050,12303,-2714,-18.1,185137,536,1600,2019-04-17
4,4,-1,OLD,20185406,헬보이,2019-04-10,83873940,7.3,-27149150,-24.5,2257580094,10417,-3309,-24.1,262240,524,1760,2019-04-17
5,5,14,OLD,20182501,왓칭,2019-04-17,64820050,5.7,58160050,873.3,86417050,8181,7441,1005.5,10764,488,1501,2019-04-17
6,6,-2,OLD,20176103,돈,2019-03-20,65826140,5.8,-15210510,-18.8,28400183872,8177,-2269,-21.7,3333479,433,1086,2019-04-17
7,7,0,OLD,20198104,바이스,2019-04-11,43458300,3.8,-4592200,-9.6,809166300,5363,-528,-9,95136,193,638,2019-04-17
8,8,-3,OLD,20185784,나의 특별한 형제,2019-05-01,32229000,2.8,-26825000,-45.4,101957000,5050,-3895,-43.5,16015,19,23,2019-04-17
9,9,0,NEW,19990220,노팅 힐,1999-07-03,34328300,3.0,34328300,100,34613300,4512,4512,100,4615,168,512,2019-04-17
10,10,4,OLD,20188393,"다시, 봄",2019-04-17,32372060,2.8,13510060,71.6,62990060,4124,2058,99.6,7666,360,822,2019-04-17
1,1,0,OLD,20183096,생일,2019-04-03,226770890,20.1,-28013250,-11,7447793291,29015,-3524,-10.8,895826,671,2496,2019-04-18
2,2,0,OLD,20183454,요로나의 저주,2019-04-17,169992450,15.0,-28258440,-14.3,393802340,20208,-3272,-13.9,46529,585,2505,2019-04-18
3,3,0,NEW,20198982,크게 될 놈,2019-04-18,108193550,9.6,108193550,100,123674550,14535,14535,100,16364,363,798,2019-04-18
4,4,-1,OLD,20180825,미성년,2019-04-11,83941210,7.4,-14654240,-14.9,1673995260,10363,-1940,-15.8,195500,507,1323,2019-04-18
5,5,-1,OLD,20185406,헬보이,2019-04-10,65942960,5.8,-17930980,-21.4,2323523054,8238,-2179,-20.9,270478,488,1443,2019-04-18
6,6,0,OLD,20176103,돈,2019-03-20,52057990,4.6,-13768150,-20.9,28452241862,6667,-1510,-18.5,3340146,394,825,2019-04-18
7,7,-2,OLD,20182501,왓칭,2019-04-17,48280450,4.3,-16539600,-25.5,134697500,6125,-2056,-25.1,16889,465,1289,2019-04-18
8,8,1,OLD,19990220,노팅 힐,1999-07-03,31770700,2.8,-2557600,-7.5,66384000,4118,-394,-8.7,8733,173,542,2019-04-18
9,9,-2,OLD,20198104,바이스,2019-04-11,31218900,2.8,-12239400,-28.2,840385200,3906,-1457,-27.2,99042,182,516,2019-04-18
10,10,-2,OLD,20185784,나의 특별한 형제,2019-05-01,20236000,1.8,-11993000,-37.2,122193000,3877,-1173,-23.2,19892,14,14,2019-04-18
1,1,0,OLD,20183096,생일,2019-04-03,307912135,20.3,81141245,35.8,7755705426,36846,7831,27,932672,727,2744,2019-04-19
2,2,0,OLD,20183454,요로나의 저주,2019-04-17,257045425,16.9,87052975,51.2,650847765,28242,8034,39.8,74771,590,2589,2019-04-19
3,3,0,OLD,20198982,크게 될 놈,2019-04-18,102440730,6.7,-5752820,-5.3,226115280,12763,-1772,-12.2,29127,418,999,2019-04-19
4,4,0,OLD,20180825,미성년,2019-04-11,108628210,7.2,24687000,29.4,1782623470,12429,2066,19.9,207929,541,1401,2019-04-19
5,5,0,OLD,20185406,헬보이,2019-04-10,88018350,5.8,22075390,33.5,2411541404,10171,1933,23.5,280649,517,1471,2019-04-19
6,6,0,OLD,20176103,돈,2019-03-20,72485960,4.8,20427970,39.2,28524727822,8613,1946,29.2,3348759,387,851,2019-04-19
7,7,0,OLD,20182501,왓칭,2019-04-17,68752825,4.5,20472375,42.4,203450325,7957,1832,29.9,24846,475,1287,2019-04-19
